City,Total_Doctors,Captured_K10,Capture_Rate_K10,Captured_K20,Capture_Rate_K20,Captured_K30,Capture_Rate_K30,Captured_K50,Capture_Rate_K50
AGRA,4,4,100.0%,4,100.0%,4,100.0%,4,100.0%
AHMEDABAD,30,15,50.0%,24,80.0%,26,86.7%,30,100.0%
BANGALORE,27,24,88.9%,27,100.0%,27,100.0%,27,100.0%
CHENNAI,15,10,66.7%,14,93.3%,15,100.0%,15,100.0%
DELHI,53,37,69.8%,52,98.1%,52,98.1%,53,100.0%
HYDERABAD,10,8,80.0%,9,90.0%,10,100.0%,10,100.0%
JAIPUR,8,6,75.0%,8,100.0%,8,100.0%,8,100.0%
KANPUR,8,7,87.5%,7,87.5%,7,87.5%,8,100.0%
KOCHI,1,1,100.0%,1,100.0%,1,100.0%,1,100.0%
KOLKATA,36,30,83.3%,36,100.0%,36,100.0%,36,100.0%
LUCKNOW,11,9,81.8%,11,100.0%,11,100.0%,11,100.0%
MADURAI,2,2,100.0%,2,100.0%,2,100.0%,2,100.0%
MEERUT,5,5,100.0%,5,100.0%,5,100.0%,5,100.0%
MUMBAI,45,33,73.3%,42,93.3%,45,100.0%,45,100.0%
NAGPUR,10,5,50.0%,9,90.0%,9,90.0%,10,100.0%
PATNA,3,2,66.7%,3,100.0%,3,100.0%,3,100.0%
PUNE,18,13,72.2%,18,100.0%,18,100.0%,18,100.0%
SURAT,4,2,50.0%,3,75.0%,3,75.0%,4,100.0%
VADODARA,2,1,50.0%,2,100.0%,2,100.0%,2,100.0%
VARANASI,3,3,100.0%,3,100.0%,3,100.0%,3,100.0%
VIJAYAWADA,1,1,100.0%,1,100.0%,1,100.0%,1,100.0%
VISAKHAPATNAM,3,1,33.3%,3,100.0%,3,100.0%,3,100.0%
