IQVIA ID,chem_city,chem_state,chem_pincode,chem_name,chem_address,chem_lat,chem_long,chemist_record_index,chemist_id,original_id,chemist_name,chemist_pincode,chemist_latitude_original,chemist_longitude_original,chemist_latitude,chemist_longitude,rejection_reason,coordinate_corrected,coordinate_source
AHM000019,AHMEDABAD,GUJRAT,382210,GALAXY MEDICAL & PRO STORE,"NR. DIMOND SCHOOL SARKEJ KHARAKUWA OPP. DR S V THKORE HOSPT,",37.5003164,-122.2424269,1939,AHM000019,AHM000019,GALAXY MEDICAL & PRO STORE,382210,37.5003164,-122.2424269,37.5003164,-122.2424269,outside_india_bounding_box,,original
AHM000127,AHMEDABAD,GUJRAT,380008,MANAN MEDICAL GEN STORES,8/SHARDA RAW HOUSE HIRABHAI TOWER/MANINAGAR NR.PRASANG PARTY PLAT A-BAD,42.1087997,-87.9226194,2048,AHM000127,AHM000127,MANAN MEDICAL GEN STORES,380008,42.1087997,-87.9226194,42.1087997,-87.9226194,outside_india_bounding_box,,original
AHM000161,AHMEDABAD,GUJRAT,382443,SHRIJI MEDICAL & PROV.STORES-1,MIRAL SHOPPING CENTRE NR.NAMRATA SOCIETYPARASNAGAR ISANPUR VATVA ROADISANPUR VATVA ROAD,51.51855419999999,-0.6070325,2081,AHM000161,AHM000161,SHRIJI MEDICAL & PROV.STORES-1,382443,51.51855419999999,-0.6070325,51.51855419999999,-0.6070325,outside_india_bounding_box,,original
AHM000266,AHMEDABAD,GUJRAT,382440,NEEL MEDI. GEN. STORES,G-21-G.F. NANADVAN RESIDENCY VATVA OPP.CHANDAN NAGAR-2 BHAMARIO KUVO AHMEDABAD 382440,23.55979236573434,32.15770737905076,2188,AHM000266,AHM000266,NEEL MEDI. GEN. STORES,382440,23.55979236573434,32.15770737905076,23.55979236573434,32.15770737905076,outside_india_bounding_box,,original
AHM000479,AHMEDABAD,GUJRAT,380024,SHRIJI MEDICAL & GENERAL STOR,"A-102, G.F YOGESHWAR APPART BAPUNAGAR/KAKADIA HOSPITAL OPP.L.B.H.ROAD, AHMEDABAD,",51.51855419999999,-0.6070325,2401,AHM000479,AHM000479,SHRIJI MEDICAL & GENERAL STOR,380024,51.51855419999999,-0.6070325,51.51855419999999,-0.6070325,outside_india_bounding_box,,original
AHM001099,AHMEDABAD,GUJRAT,382418,M.J.MEDICAL & GENRAL STORES,"SHOP NO.7,GAYATRI CHEMBERS NR.SWASTIK MALL,VASTRAL ROAD VASTRAL,AHMEDABAD,",50.2500949,-5.0449319,3031,AHM001099,AHM001099,M.J.MEDICAL & GENRAL STORES,382418,50.2500949,-5.0449319,50.2500949,-5.0449319,outside_india_bounding_box,,original
AHM001307,AHMEDABAD,GUJRAT,380028,AL SHIFA MEDICAL & PRO. STORE,URESH COMPLEX DANILIMDA CROSS ROAD O KALAPI DANILIMDA CROSS ROAD DANILIMDA,53.4338517,-2.229315,3239,AHM001307,AHM001307,AL SHIFA MEDICAL & PRO. STORE,380028,53.4338517,-2.229315,53.4338517,-2.229315,outside_india_bounding_box,,original
AHM001464,AHMEDABAD,GUJRAT,380023,PARKAR MEDICAL & PROVISION STO,"MODASA AHMEDABAD HIGHWAY RAKHIAL STATION,DIS.-DEHGAM RAKHIAL,",41.3818642,-73.5159159,3398,AHM001464,AHM001464,PARKAR MEDICAL & PROVISION STO,380023,41.3818642,-73.5159159,41.3818642,-73.5159159,outside_india_bounding_box,,original
AHM001704,AHMEDABAD,GUJRAT,380001,RUBY MEDICAL & PRO. STORE,"1561,KHATRI VAS,SURVAY NO.2302 TANA.NO.0112670161001-H,VAISYA SHABHA,JAMALPUR ROAD,AHMEDABAD, 380001",0.3336345,32.6022206,3639,AHM001704,AHM001704,RUBY MEDICAL & PRO. STORE,380001,0.3336345,32.6022206,0.3336345,32.6022206,outside_india_bounding_box,,original
AHM001939,AHMEDABAD,GUJRAT,380028,KISRA MEDICAL & GENREL STORE,"OPP.CHOKIDAR BAWA'S DARGAH SHAHALAM,AHMEDABAD,",3.16298,101.6484502,3875,AHM001939,AHM001939,KISRA MEDICAL & GENREL STORE,380028,3.16298,101.6484502,3.16298,101.6484502,outside_india_bounding_box,,original
AHM002649,AHMEDABAD,GUJRAT,380021,OJAS MED.& GEN.STORES,"519,NR.OJAS HOSPITAL RAKHIAL,9825137766 NR.DYNASOR CIRCEL, AHMEDABAD,",31.2197599,121.4559967,4585,AHM002649,AHM002649,OJAS MED.& GEN.STORES,380021,31.2197599,121.4559967,31.2197599,121.4559967,outside_india_bounding_box,,original
AHM003228,AHMEDABAD,GUJRAT,380015,WELLSPRING MEDICAL & PROVISION,"410,4TH FLORE TITANIUM CITY CENTRE OPP-SEEMA HALL,ANANDNAGAR,SATELLITE, AHMEDABAD,",55.0371685,-1.5639903,5165,AHM003228,AHM003228,WELLSPRING MEDICAL & PROVISION,380015,55.0371685,-1.5639903,55.0371685,-1.5639903,outside_india_bounding_box,,original
AHM004995,AHMEDABAD,GUJRAT,382440,NAHAM MEDICAL & PROVISION STOR,"56, SHAHALLAM NAGAR VATVA OPP. GOKUL PARK, AHMEDABAD, 380045",38.9026415,-77.0453089,6935,AHM004995,AHM004995,NAHAM MEDICAL & PROVISION STOR,382440,38.9026415,-77.0453089,38.9026415,-77.0453089,outside_india_bounding_box,,original
AHM005978,AHMEDABAD,GUJRAT,380051,APPOLO PHARMACY DC GOTA ABD,GROUND FLOOR NR. TRIDEV TENAMENTOPP. BALIYADEV TEMPLE OGNAG AHMEDABAD AHMEDABAD,38.9071923,-77.0368707,7918,AHM005978,AHM005978,APPOLO PHARMACY DC GOTA ABD,380051,38.9071923,-77.0368707,38.9071923,-77.0368707,outside_india_bounding_box,,original
AHM006571,AHMEDABAD,GUJRAT,380013,HONEST MEDICAL & GENERAL STOR,"T-18 SHANTINAGAR SOC USMANPURA SANJAY PATEL-9825885008,",33.2073584,-117.2912426,8511,AHM006571,AHM006571,HONEST MEDICAL & GENERAL STOR,380013,33.2073584,-117.2912426,33.2073584,-117.2912426,outside_india_bounding_box,,original
BHP003544,BHOPAL,MADHYA PRADESH,462021,NIMIT MEDICAL,BYPASS ROAD N/ STATE BANK OF INDIA SANTOSH VIHAR AYODHAYA BYPASS,43.1938516,-71.5723953,15531,BHP003544,BHP003544,NIMIT MEDICAL,462021,43.1938516,-71.5723953,43.1938516,-71.5723953,outside_india_bounding_box,,original
BNG000101,BANGALORE,KARNATAKA,560049,HEALTH PLUS MEDICAL & GEN STOR,"NO.44 GROUND FLOOR SHNO 5 NEAR ST ANTHONYS CHURCH TC PALYA MAIN ROAD, KR PURAM BANGALORE,",49.8617776,-97.07665949999999,16295,BNG000101,BNG000101,HEALTH PLUS MEDICAL & GEN STOR,560049,49.8617776,-97.07665949999999,49.8617776,-97.07665949999999,outside_india_bounding_box,,original
BNG000256,BANGALORE,KARNATAKA,560043,R.K.PHARMA & RETAIL MEDICALS,"KN.1157/2 DR.RAJKUMAR CIRCLE KALKERI RAMMURTHY NG RD,NEAR BUS STOP, BANGALORE, 560043",41.07819970000001,-74.01893799999999,16454,BNG000256,BNG000256,R.K.PHARMA & RETAIL MEDICALS,560043,41.07819970000001,-74.01893799999999,41.07819970000001,-74.01893799999999,outside_india_bounding_box,,original
BNG000902,BANGALORE,KARNATAKA,560022,SRI SAI KRUPA MEDICAL,"NEW NO 1-1,OLD 801,1ST B MN RD GOKULA 1ST STAGE,4TH PHASE PIPELINE RD,LN CNY.YPR, B- 22, 001/098/2017/DSRT/153160,",44.977753,-93.2650108,17107,BNG000902,BNG000902,SRI SAI KRUPA MEDICAL,560022,44.977753,-93.2650108,44.977753,-93.2650108,outside_india_bounding_box,,original
BNG001027,BANGALORE,KARNATAKA,560032,PHYSIO MED & GEN STORES,"1/26 VISHWANATH NAGENAHALLI MAIN ROAD R.T.NAGAR POST BANGALORE, R T NAGAR, R.T.NAGAR",53.77734950000001,-1.5848741,17233,BNG001027,BNG001027,PHYSIO MED & GEN STORES,560032,53.77734950000001,-1.5848741,53.77734950000001,-1.5848741,outside_india_bounding_box,,original
BNG002348,BANGALORE,KARNATAKA,560066,SATYA SAI MED & GEN STRS,"PLOT NO.95,EPIP AREA WHITEFIELD POST BANGALORE, WHITEFIELD,KRIS, WHITEFIELD,KRIS",40.3047679,-75.8549841,18560,BNG002348,BNG002348,SATYA SAI MED & GEN STRS,560066,40.3047679,-75.8549841,40.3047679,-75.8549841,outside_india_bounding_box,,original
