doctor_id,max_air_rank_needed_for_road_top_5,road_top_5_available_within_air_top_10,road_top_5_available_within_air_top_20,road_top_5_available_within_air_top_30,road_top_5_available_within_air_top_50
C2-110,6,1,1,1,1
C2-1110,6,1,1,1,1
C2-1112,13,0,1,1,1
C2-1115,6,1,1,1,1
C2-1123,5,1,1,1,1
C2-1135,10,1,1,1,1
C2-1143,9,1,1,1,1
C2-1147,8,1,1,1,1
C2-1148,8,1,1,1,1
C2-1149,5,1,1,1,1
C2-1155,5,1,1,1,1
C2-1158,8,1,1,1,1
C2-1159,11,0,1,1,1
C2-1160,8,1,1,1,1
C2-1180,6,1,1,1,1
C2-120,6,1,1,1,1
C2-1201,5,1,1,1,1
C2-1204,5,1,1,1,1
C2-1206,5,1,1,1,1
C2-1209,5,1,1,1,1
C2-1215,7,1,1,1,1
C2-1216,5,1,1,1,1
C2-1219,12,0,1,1,1
C2-1227,5,1,1,1,1
C2-123,6,1,1,1,1
C2-1424,6,1,1,1,1
C2-1482,7,1,1,1,1
C2-1494,14,0,1,1,1
C2-1505,11,0,1,1,1
C2-1510,6,1,1,1,1
C2-1518,7,1,1,1,1
C2-1520,7,1,1,1,1
C2-1523,8,1,1,1,1
C2-1526,13,0,1,1,1
C2-1539,6,1,1,1,1
C2-1555,6,1,1,1,1
C2-1558,7,1,1,1,1
C2-1559,14,0,1,1,1
C2-1563,5,1,1,1,1
C2-1569,14,0,1,1,1
C2-1578,5,1,1,1,1
C2-1579,5,1,1,1,1
C2-1580,6,1,1,1,1
C2-1582,7,1,1,1,1
C2-1590,13,0,1,1,1
C2-1614,5,1,1,1,1
C2-1617,9,1,1,1,1
C2-1622,5,1,1,1,1
C2-1623,20,0,1,1,1
C2-1628,7,1,1,1,1
C2-1629,9,1,1,1,1
C2-1630,5,1,1,1,1
C2-1632,5,1,1,1,1
C2-1633,9,1,1,1,1
C2-1637,5,1,1,1,1
C2-1643,14,0,1,1,1
C2-1663,10,1,1,1,1
C2-1667,14,0,1,1,1
C2-1669,8,1,1,1,1
C2-1671,16,0,1,1,1
C2-1674,6,1,1,1,1
C2-1676,5,1,1,1,1
C2-1679,49,0,0,0,1
C2-1686,16,0,1,1,1
C2-1691,16,0,1,1,1
C2-1695,5,1,1,1,1
C2-1710,5,1,1,1,1
C2-1712,5,1,1,1,1
C2-1722,6,1,1,1,1
C2-175,7,1,1,1,1
C2-179,7,1,1,1,1
C2-180,6,1,1,1,1
C2-1849,5,1,1,1,1
