doctor_id,max_air_rank_needed_for_road_top_5,road_top_5_available_within_air_top_10,road_top_5_available_within_air_top_20,road_top_5_available_within_air_top_30,road_top_5_available_within_air_top_50
C2-110,6,1,1,1,1
C2-1110,12,0,1,1,1
C2-1112,5,1,1,1,1
C2-1115,6,1,1,1,1
C2-1123,13,0,1,1,1
C2-1135,8,1,1,1,1
C2-1143,6,1,1,1,1
C2-1147,9,1,1,1,1
C2-1148,8,1,1,1,1
C2-1149,5,1,1,1,1
C2-1155,6,1,1,1,1
C2-1158,5,1,1,1,1
C2-1159,8,1,1,1,1
C2-1160,14,0,1,1,1
C2-1180,10,1,1,1,1
C2-120,5,1,1,1,1
C2-1201,6,1,1,1,1
C2-1204,5,1,1,1,1
C2-1206,8,1,1,1,1
C2-1209,5,1,1,1,1
C2-1215,6,1,1,1,1
C2-1216,7,1,1,1,1
C2-1219,7,1,1,1,1
C2-1227,5,1,1,1,1
C2-123,7,1,1,1,1
C2-1424,5,1,1,1,1
C2-1482,8,1,1,1,1
C2-1494,11,0,1,1,1
C2-1505,11,0,1,1,1
C2-1510,5,1,1,1,1
C2-1518,7,1,1,1,1
C2-1520,5,1,1,1,1
C2-1523,6,1,1,1,1
C2-1526,5,1,1,1,1
C2-1539,6,1,1,1,1
C2-1555,5,1,1,1,1
C2-1558,5,1,1,1,1
C2-1559,9,1,1,1,1
C2-1563,5,1,1,1,1
C2-1569,9,1,1,1,1
C2-1578,8,1,1,1,1
C2-1579,5,1,1,1,1
C2-1580,10,1,1,1,1
C2-1582,6,1,1,1,1
C2-1590,7,1,1,1,1
C2-1614,8,1,1,1,1
C2-1617,6,1,1,1,1
C2-1622,9,1,1,1,1
C2-1623,5,1,1,1,1
C2-1628,6,1,1,1,1
C2-1629,7,1,1,1,1
C2-1630,6,1,1,1,1
C2-1632,5,1,1,1,1
C2-1633,6,1,1,1,1
C2-1637,5,1,1,1,1
C2-1643,14,0,1,1,1
C2-1663,6,1,1,1,1
C2-1667,6,1,1,1,1
C2-1669,9,1,1,1,1
C2-1671,8,1,1,1,1
C2-1674,6,1,1,1,1
C2-1676,6,1,1,1,1
C2-1679,9,1,1,1,1
C2-1686,7,1,1,1,1
C2-1691,16,0,1,1,1
C2-1695,12,0,1,1,1
C2-1710,7,1,1,1,1
C2-1712,5,1,1,1,1
C2-1722,6,1,1,1,1
C2-175,14,0,1,1,1
C2-179,5,1,1,1,1
C2-180,7,1,1,1,1
C2-1849,7,1,1,1,1
C2-185,11,0,1,1,1
C2-1854,6,1,1,1,1
C2-1858,5,1,1,1,1
C2-1860,6,1,1,1,1
C2-1874,9,1,1,1,1
C2-1881,6,1,1,1,1
C2-1886,7,1,1,1,1
C2-1894,7,1,1,1,1
C2-1898,6,1,1,1,1
C2-1899,6,1,1,1,1
C2-1900,20,0,1,1,1
C2-1909,9,1,1,1,1
C2-1911,6,1,1,1,1
C2-1915,8,1,1,1,1
C2-192,6,1,1,1,1
C2-1928,9,1,1,1,1
C2-2009,6,1,1,1,1
C2-2033,6,1,1,1,1
C2-2039,6,1,1,1,1
C2-2056,7,1,1,1,1
C2-2081,9,1,1,1,1
C2-2099,9,1,1,1,1
C2-2103,6,1,1,1,1
C2-2106,7,1,1,1,1
C2-2112,5,1,1,1,1
C2-212,10,1,1,1,1
C2-2132,10,1,1,1,1
C2-2151,5,1,1,1,1
C2-2181,11,0,1,1,1
C2-2188,5,1,1,1,1
C2-2212,6,1,1,1,1
C2-2216,11,0,1,1,1
C2-2230,5,1,1,1,1
C2-2233,6,1,1,1,1
C2-2242,5,1,1,1,1
C2-2251,8,1,1,1,1
C2-226,8,1,1,1,1
C2-2272,6,1,1,1,1
C2-2279,8,1,1,1,1
C2-2280,5,1,1,1,1
C2-2286,8,1,1,1,1
C2-2287,11,0,1,1,1
C2-2302,5,1,1,1,1
C2-2315,6,1,1,1,1
C2-2321,5,1,1,1,1
C2-2322,5,1,1,1,1
C2-2325,5,1,1,1,1
C2-2332,12,0,1,1,1
C2-237,5,1,1,1,1
C2-2387,5,1,1,1,1
C2-2388,9,1,1,1,1
C2-2389,9,1,1,1,1
C2-2393,7,1,1,1,1
C2-2395,6,1,1,1,1
C2-2396,6,1,1,1,1
C2-2400,7,1,1,1,1
C2-2404,14,0,1,1,1
C2-2407,39,0,0,0,1
C2-2416,10,1,1,1,1
C2-2419,15,0,1,1,1
C2-2433,5,1,1,1,1
C2-2438,12,0,1,1,1
